County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Score
"Ballard County, KY",6,7,8,1,1,5,21
"Pulaski County, IL",6,7,8,1,1,5,21
"Barber County, KS",9,4,9,1,1,5,21
"McCracken County, KY",6,7,8,1,1,5,21
"Bossier Parish, LA",9,4,9,1,1,5,21
"De Soto Parish, LA",9,4,9,1,1,5,21
"Ouachita Parish, LA",9,5,8,1,1,5,21
"Washington Parish, LA",7,6,8,1,1,6,21
"Hinds County, MS",7,5,9,1,1,5,21
"Holmes County, MS",7,6,8,1,1,5,21
"Humphreys County, MS",7,7,8,1,1,5,21
"Jones County, MS",7,5,8,1,1,6,21
"Leake County, MS",7,6,8,1,1,5,21
"Madison County, MS",7,6,8,1,1,5,21
"Marshall County, MS",7,6,8,1,1,5,21
"Noxubee County, MS",7,6,8,1,1,5,21
"Oktibbeha County, MS",7,6,8,1,1,5,21
"Rankin County, MS",7,6,8,1,1,5,21
"Sharkey County, MS",9,9,6,1,1,5,21
"Yalobusha County, MS",7,6,8,1,1,5,21
"Yazoo County, MS",7,7,8,1,1,5,21
"Bollinger County, MO",6,6,8,1,2,6,21
"Dunklin County, MO",6,7,8,1,1,5,21
"Maries County, MO",6,7,7,1,2,6,21
"Phelps County, MO",6,7,8,1,2,5,21
"Ripley County, MO",6,5,8,1,2,6,21
"Lea County, NM",7,1,8,1,6,5,21
"Sierra County, NM",9,2,5,1,6,5,21
"Bertie County, NC",4,5,8,4,3,5,21
"Bladen County, NC",6,5,8,1,3,5,21
"Columbus County, NC",4,5,8,3,3,5,21
"Lenoir County, NC",6,7,8,1,1,5,21
"Pitt County, NC",6,6,8,3,1,5,21
"Wayne County, NC",6,7,8,1,1,5,21
"Grady County, OK",9,4,10,1,1,4,21
"Harmon County, OK",9,2,10,1,2,4,21
"Jefferson County, OK",9,4,10,1,1,4,21
"Kiowa County, OK",9,4,10,1,1,4,21
"Le Flore County, OK",7,4,9,1,3,4,21
"Okmulgee County, OK",7,4,9,1,3,4,21
"Pittsburg County, OK",7,4,9,1,3,4,21
"Pottawatomie County, OK",9,4,9,1,2,4,21
"Seminole County, OK",9,4,9,1,2,4,21
"Tillman County, OK",7,4,10,1,2,4,21
"Washita County, OK",9,4,10,1,1,4,21
"Woodward County, OK",7,4,9,1,3,4,21
"Malheur County, OR",6,1,5,1,10,4,21
"Allendale County, SC",7,4,8,1,3,5,21
"Marion County, SC",6,4,8,1,3,6,21
"Dyer County, TN",6,7,8,1,1,5,21
"Lake County, TN",6,7,8,1,1,5,21
"Madison County, TN",6,7,8,1,1,5,21
"Tipton County, TN",6,7,8,1,1,5,21
"Andrews County, TX",9,2,8,1,3,5,21
"Archer County, TX",9,4,10,1,1,4,21
"Bell County, TX",9,4,8,1,2,5,21
"Burleson County, TX",9,4,9,1,1,5,21
"Clay County, TX",9,4,10,1,1,4,21
"Collin County, TX",9,4,9,1,1,5,21
"Comal County, TX",7,2,10,1,2,5,21
"Cottle County, TX",9,4,8,1,2,5,21
"Dawson County, TX",9,2,8,1,3,5,21
"El Paso County, TX",9,2,8,1,3,5,21
"Fisher County, TX",9,4,8,1,2,5,21
"Gaines County, TX",9,2,8,1,3,5,21
"Gillespie County, TX",7,2,10,1,2,5,21
"Guadalupe County, TX",9,4,8,1,2,5,21
"Harrison County, TX",7,4,10,1,1,5,21
"Hays County, TX",7,2,10,1,2,5,21
"Houston County, TX",7,2,10,1,1,6,21
"Hunt County, TX",9,4,9,1,1,5,21
"Jackson County, TX",7,2,7,4,1,7,21
"Kerr County, TX",7,2,10,1,2,5,21
"Lamar County, TX",9,4,9,1,1,5,21
"Madison County, TX",9,2,10,1,1,5,21
"Matagorda County, TX",3,2,8,4,1,8,21
"Montague County, TX",9,4,10,1,1,4,21
"Panola County, TX",7,4,10,1,1,5,21
"Robertson County, TX",9,4,9,1,1,5,21
"Sutton County, TX",9,2,8,1,3,5,21
"Terry County, TX",9,2,8,1,3,5,21
"Travis County, TX",9,4,9,1,1,5,21
"Uvalde County, TX",9,4,9,1,1,5,21
"Washington County, TX",9,4,9,1,1,5,21
"Covington County, AL",6,4,8,1,1,6,20
"Geneva County, AL",6,2,8,1,1,7,20
"Henry County, AL",6,2,8,1,1,7,20
"Montgomery County, AL",7,5,8,1,1,5,20
"Russell County, AL",7,4,8,1,1,6,20
"Gila County, AZ",10,5,1,1,7,5,20
"Yavapai County, AZ",4,1,7,1,7,5,20
"Clark County, AR",6,6,9,1,1,4,20
"Little River County, AR",7,4,9,1,1,5,20
"Logan County, AR",7,4,9,1,2,4,20
"Miller County, AR",7,4,9,1,1,5,20
"Randolph County, AR",6,6,8,1,2,4,20
"Merced County, CA",9,2,4,1,6,5,20
"Nevada County, CA",4,2,6,1,7,5,20
"Charlotte County, FL",9,6,1,4,2,8,20
"Monroe County, FL",4,5,1,7,4,8,20
"Baker County, GA",7,4,8,1,1,6,20
"Candler County, GA",7,2,8,1,1,6,20
"Cook County, GA",7,2,9,1,1,6,20
"Grady County, GA",7,5,8,1,1,5,20
"Jeff Davis County, GA",7,2,9,1,2,5,20
"Jenkins County, GA",6,2,9,1,1,6,20
"Montgomery County, GA",7,2,8,1,1,6,20
"Seminole County, GA",7,2,8,1,1,7,20
"Thomas County, GA",7,4,8,1,1,6,20
"Treutlen County, GA",7,2,9,1,1,6,20
"Wheeler County, GA",7,2,9,1,1,6,20
"Gallatin County, IL",6,9,7,1,1,5,20
"Hardin County, IL",6,7,8,1,1,4,20
"Pope County, IL",6,7,8,1,1,5,20
"Union County, IL",6,7,8,1,1,5,20
"Clark County, KS",9,2,8,1,2,5,20
"Comanche County, KS",7,4,9,1,1,5,20
"Carlisle County, KY",6,7,8,1,1,5,20
"Fulton County, KY",6,6,8,1,1,5,20
"Graves County, KY",6,7,8,1,1,5,20
"Livingston County, KY",6,7,8,1,1,5,20
"Marshall County, KY",6,7,8,1,1,5,20
"Bienville Parish, LA",7,2,10,1,1,5,20
"Caddo Parish, LA",9,4,8,1,1,5,20
"Caldwell Parish, LA",9,2,9,1,1,5,20
"Natchitoches Parish, LA",9,4,8,1,1,5,20
"Union Parish, LA",7,4,9,1,1,5,20
"West Feliciana Parish, LA",7,2,9,1,1,6,20
"Adams County, MS",7,2,8,1,1,6,20
"Calhoun County, MS",6,6,8,1,1,5,20
"Grenada County, MS",6,6,8,1,1,5,20
"Issaquena County, MS",9,5,8,1,1,5,20
