County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Score
"Yuba County, CA",4,2,8,1,1,5,15
"Cheyenne County, CO",7,2,5,1,2,5,15
"Kiowa County, CO",7,2,5,1,2,5,15
"Gulf County, FL",4,4,1,3,1,10,15
"Holmes County, FL",4,2,4,1,1,8,15
"Barrow County, GA",6,1,8,1,1,5,15
"Carroll County, GA",4,1,8,1,1,5,15
"Dade County, GA",4,2,7,1,2,5,15
"Haralson County, GA",4,1,8,1,2,5,15
"Heard County, GA",4,1,8,1,1,5,15
"Meriwether County, GA",6,1,8,1,1,5,15
"Monroe County, GA",6,1,8,1,1,5,15
"Putnam County, GA",7,2,6,1,1,5,15
"Randolph County, GA",6,1,8,1,1,5,15
"Troup County, GA",4,1,8,1,1,5,15
"Upson County, GA",6,1,8,1,1,5,15
"Walker County, GA",6,2,6,1,2,5,15
"Custer County, ID",3,1,4,1,7,4,15
"Christian County, IL",4,6,5,1,1,5,15
"Clay County, IL",4,6,5,1,1,5,15
"Edgar County, IL",4,7,4,1,1,5,15
"Effingham County, IL",4,6,5,1,1,5,15
"Fayette County, IL",4,6,5,1,1,5,15
"Greene County, IL",4,5,6,1,1,5,15
"Jasper County, IL",4,6,5,1,1,5,15
"Logan County, IL",4,7,4,1,1,5,15
"Marion County, IL",4,6,5,1,1,5,15
"Marshall County, IL",4,7,4,1,1,5,15
"Piatt County, IL",4,7,4,1,1,5,15
"Putnam County, IL",4,7,4,1,1,5,15
"Richland County, IL",4,6,5,1,1,5,15
"Sangamon County, IL",4,6,5,1,1,5,15
"Washington County, IL",4,6,5,1,1,5,15
"Crawford County, IN",4,5,5,1,1,6,15
"Daviess County, IN",4,6,5,1,1,5,15
"Dubois County, IN",4,6,5,1,1,5,15
"Fountain County, IN",4,7,4,1,1,5,15
"Jefferson County, IN",6,7,3,1,1,5,15
"Martin County, IN",4,6,5,1,1,5,15
"Sullivan County, IN",4,6,5,1,1,5,15
"Switzerland County, IN",6,7,3,1,1,5,15
"Vigo County, IN",4,7,4,1,1,5,15
"Warren County, IN",4,7,4,1,1,5,15
"Jefferson County, IA",4,6,5,1,2,4,15
"Decatur County, KS",6,2,6,1,2,5,15
"Nemaha County, KS",6,2,7,1,1,5,15
"Rawlins County, KS",7,2,5,1,2,5,15
"Thomas County, KS",7,2,5,1,2,5,15
"Wallace County, KS",6,2,6,1,2,5,15
"Adair County, KY",6,6,4,1,1,5,15
"Breckinridge County, KY",6,6,4,1,1,5,15
"Carroll County, KY",6,7,3,1,1,5,15
"Green County, KY",6,6,4,1,1,5,15
"Meade County, KY",6,6,4,1,1,5,15
"Menifee County, KY",6,6,3,1,2,5,15
"Metcalfe County, KY",6,6,4,1,1,5,15
"Monroe County, KY",6,6,4,1,1,5,15
"Montgomery County, KY",6,5,4,1,2,5,15
"Powell County, KY",6,6,3,1,2,5,15
"Rowan County, KY",6,6,3,1,2,5,15
"Shelby County, KY",6,7,3,1,1,5,15
"Taylor County, KY",6,6,4,1,1,5,15
"Plaquemines Parish, LA",6,7,1,6,1,5,15
"Talbot County, MD",4,5,4,4,1,5,15
"Andrew County, MO",4,4,7,1,1,5,15
"Audrain County, MO",4,4,6,1,2,5,15
"Buchanan County, MO",4,4,7,1,1,5,15
"Callaway County, MO",4,5,6,1,1,5,15
"Clark County, MO",4,5,5,1,2,5,15
"Lewis County, MO",4,5,5,1,2,5,15
"Linn County, MO",4,5,5,1,2,5,15
"Montgomery County, MO",4,5,6,1,1,5,15
"Nodaway County, MO",4,5,6,1,1,5,15
"Pike County, MO",6,4,6,1,1,5,15
"St. Charles County, MO",4,4,7,1,1,5,15
"Scotland County, MO",6,4,5,1,2,5,15
"Blaine County, MT",4,1,4,1,6,4,15
"Fergus County, MT",3,1,4,1,7,4,15
"Flathead County, MT",4,1,3,1,7,4,15
"Musselshell County, MT",6,1,4,1,6,4,15
"Petroleum County, MT",6,1,4,1,6,4,15
"Phillips County, MT",4,1,4,1,6,4,15
"Prairie County, MT",6,1,4,1,6,4,15
"Valley County, MT",4,1,4,1,6,4,15
"Yellowstone County, MT",4,1,4,1,6,4,15
"Franklin County, NE",6,2,7,1,1,5,15
"Gosper County, NE",4,2,7,1,2,5,15
"Hall County, NE",6,2,7,1,1,5,15
"Harlan County, NE",6,2,7,1,1,5,15
"Nemaha County, NE",6,4,6,1,1,5,15
"Nuckolls County, NE",6,2,7,1,1,5,15
"Pawnee County, NE",6,2,7,1,1,5,15
"Richardson County, NE",6,2,7,1,1,5,15
"Webster County, NE",6,2,7,1,1,5,15
"Washoe County, NV",4,1,1,1,10,4,15
"Ocean County, NJ",4,2,3,6,3,5,15
"Salem County, NJ",4,4,4,6,1,5,15
"Eddy County, NM",9,2,1,1,6,5,15
"Union County, NM",4,1,4,1,6,5,15
"Anson County, NC",6,2,7,1,1,5,15
"Chatham County, NC",6,2,7,1,1,5,15
"Halifax County, NC",4,4,7,1,1,5,15
"Johnston County, NC",4,2,8,1,1,5,15
"Lee County, NC",6,2,7,1,1,5,15
"Harney County, OR",4,1,1,1,10,4,15
"Lake County, OR",6,1,1,1,9,4,15
"Chesterfield County, SC",6,1,8,1,1,5,15
"Lancaster County, SC",6,1,8,1,1,5,15
"Butte County, SD",4,1,4,1,6,5,15
"Harding County, SD",4,1,4,1,6,5,15
"Jackson County, SD",6,2,5,1,3,5,15
"Jones County, SD",6,2,5,1,3,5,15
"Lyman County, SD",6,2,6,1,2,5,15
"Perkins County, SD",4,2,3,1,6,5,15
"Ziebach County, SD",6,2,4,1,4,5,15
"Giles County, TN",6,4,6,1,1,5,15
"Hamilton County, TN",6,2,6,1,2,5,15
"Hickman County, TN",4,4,7,1,1,5,15
"Robertson County, TN",6,5,5,1,1,5,15
"Rutherford County, TN",6,4,6,1,1,5,15
"Sumner County, TN",6,5,5,1,1,5,15
"Williamson County, TN",6,5,5,1,1,5,15
"Bailey County, TX",7,1,7,1,2,4,15
"Crockett County, TX",9,4,1,1,5,5,15
"Edwards County, TX",10,5,1,1,3,5,15
"Hartley County, TX",7,1,6,1,3,4,15
"Jim Hogg County, TX",10,5,1,1,1,6,15
"Polk County, TX",9,4,1,1,1,8,15
"Reeves County, TX",9,2,1,1,6,5,15
"Sherman County, TX",7,1,7,1,2,4,15
"Trinity County, TX",9,4,1,1,1,8,15
"Cache County, UT",4,1,4,1,6,4,15
"Sevier County, UT",6,1,3,1,6,4,15
"Weber County, UT",4,1,4,1,6,4,15
"Accomack County, VA",3,5,3,7,1,5,15
"Essex County, VA",4,5,4,4,1,5,15
"Northumberland County, VA",4,6,3,4,1,5,15
"Kittitas County, WA",4,1,3,1,7,4,15
"Mason County, WV",6,7,3,1,2,4,15
"Natrona County, WY",4,1,3,1,7,4,15
"Sheridan County, WY",6,1,4,1,6,4,15
"Chambers County, AL",4,1,8,1,1,5,14
"Jackson County, AL",6,2,5,1,2,5,14
"Randolph County, AL",4,1,8,1,1,5,14
"Winston County, AL",6,2,6,1,1,5,14
"Coconino County, AZ",3,1,1,1,9,5,14
"Santa Cruz County, AZ",9,1,1,1,6,5,14
"Kern County, CA",4,1,8,1,1,5,14
"Orange County, CA",4,2,3,4,3,5,14
"Plumas County, CA",4,1,1,1,9,4,14
"Otero County, CO",7,1,5,1,2,5,14
"Brevard County, FL",4,1,1,4,3,8,14
"Orange County, FL",7,2,1,3,3,6,14
"Osceola County, FL",6,2,1,1,3,8,14
"Seminole County, FL",7,4,1,3,2,6,14
"Floyd County, GA",6,2,5,1,2,5,14
"Gwinnett County, GA",4,1,8,1,1,5,14
"Henry County, GA",6,1,7,1,1,5,14
"Lamar County, GA",6,1,7,1,1,5,14
"Camas County, ID",4,1,3,1,6,4,14
"Canyon County, ID",6,1,7,1,1,5,14
"Franklin County, ID",6,1,3,1,6,4,14
"Idaho County, ID",4,1,1,1,9,4,14
"Minidoka County, ID",4,1,4,1,6,4,14
"Payette County, ID",6,1,7,1,1,5,14
"Adams County, IL",4,5,5,1,1,5,14
"Brown County, IL",4,5,5,1,1,5,14
"Cass County, IL",4,5,5,1,1,5,14
"Champaign County, IL",4,6,4,1,1,5,14
"Clark County, IL",4,6,4,1,1,5,14
"Coles County, IL",4,6,4,1,1,5,14
"Cumberland County, IL",4,6,4,1,1,5,14
"Douglas County, IL",4,6,4,1,1,5,14
"Hancock County, IL",4,5,5,1,1,5,14
"Henderson County, IL",4,5,5,1,1,5,14
"Jefferson County, IL",4,5,5,1,1,5,14
"Jersey County, IL",4,4,6,1,1,5,14
"Kankakee County, IL",4,7,4,1,1,4,14
"Kendall County, IL",4,7,4,1,1,4,14
"Macoupin County, IL",4,5,5,1,1,5,14
"Mason County, IL",4,5,5,1,1,5,14
"Menard County, IL",4,6,4,1,1,5,14
"Morgan County, IL",4,5,5,1,1,5,14
"Moultrie County, IL",4,6,4,1,1,5,14
"Peoria County, IL",4,6,4,1,1,5,14
"Shelby County, IL",4,6,4,1,1,5,14
"Tazewell County, IL",4,6,4,1,1,5,14
"Vermilion County, IL",4,6,4,1,1,5,14
"Woodford County, IL",4,6,4,1,1,5,14
"Brown County, IN",4,5,3,1,1,6,14
"Greene County, IN",4,5,4,1,1,6,14
"Jasper County, IN",4,7,3,1,1,5,14
"Monroe County, IN",4,7,3,1,1,5,14
"Orange County, IN",4,6,4,1,1,5,14
"Vermillion County, IN",4,6,4,1,1,5,14
"Washington County, IN",4,6,4,1,1,5,14
"Davis County, IA",4,4,5,1,2,5,14
"Lee County, IA",4,5,5,1,1,5,14
"Muscatine County, IA",4,6,4,1,1,5,14
"Atchison County, KS",4,2,7,1,1,5,14
"Brown County, KS",6,2,6,1,1,5,14
"Cheyenne County, KS",7,2,5,1,1,5,14
"Sheridan County, KS",6,2,5,1,2,5,14
"Bath County, KY",6,5,3,1,2,5,14
"Henry County, KY",6,6,3,1,1,5,14
"Kenton County, KY",4,5,5,1,1,5,14
"Marion County, KY",6,5,4,1,1,5,14
"Nelson County, KY",4,5,5,1,1,5,14
"Oldham County, KY",6,6,3,1,1,5,14
"Trimble County, KY",6,6,3,1,1,5,14
"Washington County, KY",6,5,4,1,1,5,14
"Caroline County, MD",4,4,5,4,1,4,14
"Kent County, MD",4,4,5,4,1,4,14
"Queen Anne's County, MD",4,4,5,4,1,4,14
"St. Louis County, MN",3,1,3,1,7,4,14
"Caldwell County, MO",4,4,6,1,1,5,14
"DeKalb County, MO",4,4,6,1,1,5,14
"Gentry County, MO",4,4,6,1,1,5,14
"Grundy County, MO",4,4,5,1,2,5,14
"Holt County, MO",4,4,6,1,1,5,14
"Iron County, MO",6,4,4,1,2,5,14
"Knox County, MO",4,4,5,1,2,5,14
"Macon County, MO",4,4,5,1,2,5,14
"Shelby County, MO",4,4,5,1,2,5,14
"Sullivan County, MO",4,4,5,1,2,5,14
"Chouteau County, MT",4,1,3,1,6,4,14
"Hill County, MT",4,1,4,1,6,4,14
"Lewis and Clark County, MT",4,1,3,1,6,4,14
"McCone County, MT",4,1,4,1,6,4,14
"Treasure County, MT",4,1,4,1,6,4,14
"Adams County, NE",6,2,6,1,1,5,14
"Clay County, NE",6,2,6,1,1,5,14
"Dundy County, NE",7,2,5,1,1,5,14
"Gage County, NE",6,2,6,1,1,5,14
"Garden County, NE",6,2,4,1,3,5,14
"Hitchcock County, NE",6,2,5,1,2,5,14
"Howard County, NE",6,2,6,1,1,5,14
"Jefferson County, NE",6,2,6,1,1,5,14
"Johnson County, NE",6,2,6,1,1,5,14
"Kearney County, NE",6,2,6,1,1,5,14
"Lancaster County, NE",6,2,6,1,1,5,14
"Merrick County, NE",6,2,6,1,1,5,14
"Otoe County, NE",6,2,6,1,1,5,14
"Phelps County, NE",6,2,6,1,1,5,14
"Red Willow County, NE",6,2,5,1,2,5,14
"Saline County, NE",6,2,6,1,1,5,14
"Thayer County, NE",6,2,6,1,1,5,14
"York County, NE",6,2,6,1,1,5,14
"Clark County, NV",10,6,1,1,1,5,14
"Eureka County, NV",4,1,1,1,9,4,14
"Lyon County, NV",7,1,1,1,6,5,14
"White Pine County, NV",4,1,1,1,9,4,14
"Atlantic County, NJ",3,4,3,4,3,5,14
"Burlington County, NJ",4,2,3,4,3,5,14
"Gloucester County, NJ",4,4,3,4,2,5,14
"Rio Arriba County, NM",3,1,3,1,7,4,14
"San Juan County, NM",6,1,3,1,6,4,14
"Santa Fe County, NM",4,1,3,1,6,4,14
"Valencia County, NM",7,1,4,1,3,5,14
"Durham County, NC",6,2,6,1,1,5,14
"Montgomery County, NC",4,2,7,1,1,5,14
"Nash County, NC",6,2,6,1,1,5,14
"Richmond County, NC",4,1,8,1,1,5,14
"Union County, NC",6,2,6,1,1,5,14
"Montgomery County, OH",6,6,3,1,1,5,14
"Noble County, OH",4,5,4,1,2,5,14
"Cimarron County, OK",7,1,5,1,3,4,14
"Douglas County, OR",4,2,1,3,7,4,14
"Lane County, OR",3,1,3,3,6,5,14
"Abbeville County, SC",6,1,7,1,1,5,14
"Chester County, SC",6,1,7,1,1,5,14
"Newberry County, SC",4,1,8,1,1,5,14
"Charles Mix County, SD",6,2,5,1,2,5,14
"Custer County, SD",3,1,4,1,6,5,14
"Dewey County, SD",4,2,4,1,4,5,14
"Mellette County, SD",6,2,5,1,2,5,14
"Davidson County, TN",6,5,4,1,1,5,14
"Dickson County, TN",4,4,6,1,1,5,14
"Jackson County, TN",6,5,4,1,1,5,14
"Lincoln County, TN",6,4,5,1,1,5,14
"Roane County, TN",4,4,5,1,2,5,14
"Smith County, TN",6,6,3,1,1,5,14
"Wayne County, TN",6,2,6,1,1,5,14
"Wilson County, TN",6,5,4,1,1,5,14
"Castro County, TX",7,1,7,1,1,4,14
"Dallam County, TX",7,1,6,1,2,4,14
"Loving County, TX",10,4,1,1,3,5,14
"Martin County, TX",10,4,1,1,3,5,14
"Midland County, TX",10,4,1,1,3,5,14
"Ward County, TX",10,4,1,1,3,5,14
"Winkler County, TX",10,4,1,1,3,5,14
"Zapata County, TX",10,6,1,1,1,5,14
"Carbon County, UT",4,1,3,1,6,4,14
"Duchesne County, UT",4,1,3,1,6,4,14
"Chesterfield County, VA",6,2,6,3,1,4,14
"Gloucester County, VA",4,5,3,4,1,5,14
"Goochland County, VA",4,2,8,1,1,4,14
"Hanover County, VA",4,2,7,3,1,4,14
"James City County, VA",4,4,5,4,1,4,14
"Surry County, VA",4,4,4,4,1,5,14
"Sussex County, VA",4,4,7,1,1,4,14
"Newport News city, VA",4,5,1,7,2,5,14
"Wood County, WV",4,5,4,1,2,5,14
"Fremont County, WY",4,1,3,1,6,4,14
"Park County, WY",4,1,3,1,6,4,14
"Platte County, WY",6,1,3,1,6,4,14
"Lee County, AL",4,1,7,1,1,5,13
"Marshall County, AL",4,2,5,1,2,5,13
"Lake County, CA",7,1,1,1,6,5,13
"Napa County, CA",4,1,3,3,4,5,13
"Stanislaus County, CA",7,2,4,1,1,5,13
"Ventura County, CA",3,2,1,3,6,5,13
"Crowley County, CO",7,1,4,1,2,5,13
"Larimer County, CO",4,1,3,1,6,4,13
"Las Animas County, CO",4,1,3,1,6,4,13
"Montezuma County, CO",4,1,3,1,6,4,13
"Montrose County, CO",3,1,3,1,6,4,13
"Indian River County, FL",4,1,1,4,2,8,13
"Butts County, GA",6,1,6,1,1,5,13
"Gordon County, GA",6,2,4,1,2,5,13
"Morgan County, GA",6,1,6,1,1,5,13
"Newton County, GA",6,1,6,1,1,5,13
"Oglethorpe County, GA",6,1,6,1,1,5,13
"Paulding County, GA",6,1,6,1,1,5,13
"Pike County, GA",6,1,6,1,1,5,13
"Polk County, GA",6,1,5,1,2,5,13
"Spalding County, GA",6,1,6,1,1,5,13
"Adams County, ID",3,1,3,1,6,4,13
"Bingham County, ID",4,1,3,1,6,4,13
"Gem County, ID",6,1,6,1,1,5,13
"Washington County, ID",7,1,5,1,1,5,13
"Carroll County, IL",4,6,4,1,1,4,13
"Cook County, IL",4,7,3,1,1,4,13
"Ford County, IL",4,5,4,1,1,5,13
"Grundy County, IL",4,6,4,1,1,4,13
"Iroquois County, IL",4,6,4,1,1,4,13
"LaSalle County, IL",4,6,4,1,1,4,13
"Livingston County, IL",4,6,4,1,1,4,13
"McLean County, IL",4,5,4,1,1,5,13
"Schuyler County, IL",4,4,5,1,1,5,13
"Scott County, IL",4,4,5,1,1,5,13
"Stark County, IL",4,5,4,1,1,5,13
"Warren County, IL",4,5,4,1,1,5,13
"Whiteside County, IL",4,6,4,1,1,4,13
"Will County, IL",4,7,3,1,1,4,13
"Bartholomew County, IN",4,5,4,1,1,5,13
"Benton County, IN",4,6,3,1,1,5,13
"Clay County, IN",4,5,4,1,1,5,13
"Dearborn County, IN",4,6,3,1,1,5,13
"Decatur County, IN",4,6,3,1,1,5,13
"Fayette County, IN",4,6,3,1,1,5,13
"Hendricks County, IN",4,6,3,1,1,5,13
"Jackson County, IN",4,5,4,1,1,5,13
"Lake County, IN",4,6,3,1,1,5,13
"Lawrence County, IN",4,5,4,1,1,5,13
"Montgomery County, IN",4,6,3,1,1,5,13
"Morgan County, IN",4,5,4,1,1,5,13
"Newton County, IN",4,6,3,1,1,5,13
"Owen County, IN",4,5,4,1,1,5,13
"Parke County, IN",4,5,4,1,1,5,13
"Porter County, IN",4,6,3,1,1,5,13
"Ripley County, IN",4,6,3,1,1,5,13
"Tippecanoe County, IN",4,6,3,1,1,5,13
"Appanoose County, IA",4,4,4,1,2,5,13
"Calhoun County, IA",4,5,4,1,1,5,13
"Decatur County, IA",4,4,4,1,2,5,13
"Henry County, IA",4,4,4,1,2,5,13
"Jasper County, IA",4,5,4,1,1,5,13
"Louisa County, IA",4,5,4,1,1,5,13
"Lucas County, IA",4,4,4,1,2,5,13
"Monroe County, IA",4,4,4,1,2,5,13
"Polk County, IA",4,5,4,1,1,5,13
"Pottawattamie County, IA",6,2,5,1,1,5,13
"Wapello County, IA",4,4,5,1,2,4,13
"Washington County, IA",4,5,4,1,1,5,13
"Wayne County, IA",4,4,4,1,2,5,13
"Doniphan County, KS",4,2,6,1,1,5,13
"Sherman County, KS",6,1,5,1,2,5,13
"Allen County, KY",4,4,5,1,1,5,13
"Anderson County, KY",4,5,4,1,1,5,13
"Boyle County, KY",6,5,3,1,1,5,13
"Campbell County, KY",4,5,4,1,1,5,13
"Casey County, KY",6,5,3,1,1,5,13
"Clay County, KY",4,4,4,1,2,5,13
"Fleming County, KY",6,5,3,1,1,5,13
"Franklin County, KY",4,5,4,1,1,5,13
"Gallatin County, KY",4,6,3,1,1,5,13
"Hardin County, KY",4,5,4,1,1,5,13
"Hart County, KY",4,5,4,1,1,5,13
"Jackson County, KY",4,4,4,1,2,5,13
"Larue County, KY",4,5,4,1,1,5,13
"Laurel County, KY",4,4,4,1,2,5,13
"Lewis County, KY",6,5,3,1,1,5,13
"Madison County, KY",4,4,4,1,2,5,13
"Mercer County, KY",4,5,4,1,1,5,13
"Pulaski County, KY",4,5,3,1,2,5,13
"Rockcastle County, KY",4,4,4,1,2,5,13
"Whitley County, KY",4,2,5,1,2,5,13
"Anne Arundel County, MD",4,4,5,3,1,4,13
"Charles County, MD",4,4,4,4,1,4,13
"Prince George's County, MD",6,2,5,3,1,4,13
"Wicomico County, MD",4,4,4,4,1,4,13
"Aitkin County, MN",3,2,3,1,6,4,13
"Beltrami County, MN",3,1,3,1,6,4,13
"Cass County, MN",3,2,3,1,6,4,13
"Itasca County, MN",3,1,3,1,6,4,13
"Koochiching County, MN",3,1,3,1,6,4,13
"Adair County, MO",4,4,4,1,2,5,13
"Clinton County, MO",4,2,6,1,1,5,13
"Daviess County, MO",4,4,5,1,1,5,13
"Harrison County, MO",4,4,5,1,1,5,13
"Mercer County, MO",4,4,4,1,2,5,13
"Putnam County, MO",4,4,4,1,2,5,13
"Schuyler County, MO",4,4,4,1,2,5,13
"Shannon County, MO",6,7,1,1,2,5,13
"Worth County, MO",4,4,5,1,1,5,13
"Carbon County, MT",4,1,3,1,6,4,13
"Fallon County, MT",4,1,4,1,5,4,13
"Lake County, MT",3,1,3,1,6,4,13
"Ravalli County, MT",3,1,3,1,6,4,13
"Richland County, MT",6,1,4,1,4,4,13
"Stillwater County, MT",4,1,3,1,6,4,13
"Sweet Grass County, MT",4,1,3,1,6,4,13
"Blaine County, NE",6,2,4,1,2,5,13
"Colfax County, NE",6,2,5,1,1,5,13
"Custer County, NE",4,1,5,1,3,5,13
"Douglas County, NE",6,2,5,1,1,5,13
"Fillmore County, NE",4,2,6,1,1,5,13
"Frontier County, NE",6,2,4,1,2,5,13
"Hamilton County, NE",4,2,6,1,1,5,13
"Holt County, NE",6,2,5,1,1,5,13
"Platte County, NE",6,2,5,1,1,5,13
"Sarpy County, NE",4,2,6,1,1,5,13
"Seward County, NE",4,2,6,1,1,5,13
"Sherman County, NE",6,1,6,1,1,5,13
"Thomas County, NE",6,2,4,1,2,5,13
"Mineral County, NV",3,1,1,1,8,5,13
"Camden County, NJ",4,2,3,4,2,5,13
"Cumberland County, NJ",3,2,3,4,3,5,13
"Middlesex County, NJ",4,4,3,4,1,5,13
"San Miguel County, NM",3,1,3,1,6,4,13
"Torrance County, NM",4,1,3,1,6,4,13
"Moore County, NC",4,1,7,1,1,5,13
"Guernsey County, OH",4,5,3,1,2,5,13
"Scioto County, OH",4,5,3,1,2,5,13
"Warren County, OH",6,5,3,1,1,5,13
"Deschutes County, OR",3,1,3,1,6,4,13
"Klamath County, OR",4,1,1,1,8,4,13
"Wasco County, OR",6,1,1,1,7,4,13
"Montgomery County, PA",4,5,4,1,1,5,13
"Greenville County, SC",6,1,5,1,2,5,13
"Pickens County, SC",6,2,4,1,2,5,13
"Spartanburg County, SC",6,1,6,1,1,5,13
"York County, SC",6,1,6,1,1,5,13
"Bennett County, SD",6,2,4,1,2,5,13
"Brule County, SD",6,2,5,1,1,5,13
"Corson County, SD",4,2,4,1,4,4,13
"Douglas County, SD",6,2,5,1,1,5,13
"Fall River County, SD",6,1,4,1,3,5,13
"Gregory County, SD",4,2,5,1,2,5,13
"Hughes County, SD",6,2,4,1,2,5,13
"Stanley County, SD",6,2,3,1,3,5,13
"Sully County, SD",6,2,4,1,2,5,13
"Tripp County, SD",6,2,5,1,1,5,13
"Yankton County, SD",6,2,5,1,1,5,13
"Anderson County, TN",4,2,5,1,2,5,13
"Bedford County, TN",6,4,4,1,1,5,13
"Cannon County, TN",6,4,4,1,1,5,13
"Lawrence County, TN",4,2,6,1,1,5,13
"Lewis County, TN",4,2,6,1,1,5,13
"Marshall County, TN",6,4,4,1,1,5,13
"Sevier County, TN",3,1,7,1,2,5,13
"Glasscock County, TX",9,4,1,1,3,5,13
"Hardin County, TX",6,2,1,3,1,8,13
"Howard County, TX",9,4,1,1,3,5,13
"Kenedy County, TX",10,5,1,1,1,5,13
"Maverick County, TX",10,5,1,1,1,5,13
"Newton County, TX",7,2,1,1,1,8,13
"San Saba County, TX",10,4,1,1,2,5,13
"Schleicher County, TX",9,4,1,1,3,5,13
"Upton County, TX",9,4,1,1,3,5,13
"Yoakum County, TX",9,2,2,1,3,5,13
"Grand County, UT",6,2,1,1,6,4,13
"Iron County, UT",4,1,1,1,8,4,13
"Greensville County, VA",4,1,7,1,1,5,13
"King George County, VA",4,4,4,4,1,4,13
"Powhatan County, VA",4,2,7,1,1,4,13
"Prince William County, VA",4,4,5,3,1,4,13
"Richmond County, VA",4,5,3,4,1,4,13
"Stafford County, VA",4,2,5,4,1,4,13
"Klickitat County, WA",4,1,1,1,8,4,13
"Walla Walla County, WA",6,1,6,1,1,5,13
"Gilmer County, WV",4,5,4,1,2,4,13
"Lincoln County, WV",4,5,4,1,2,4,13
"Putnam County, WV",4,5,4,1,2,4,13
"Wayne County, WV",4,5,4,1,2,4,13
"Big Horn County, WY",4,1,3,1,6,4,13
"Niobrara County, WY",6,1,4,1,4,4,13
"Washakie County, WY",4,1,3,1,6,4,13
"Apache County, AZ",4,1,1,1,6,5,12
"Contra Costa County, CA",6,1,3,3,2,5,12
"Inyo County, CA",10,4,1,1,1,5,12
"Mariposa County, CA",4,1,1,1,6,5,12
"San Mateo County, CA",3,1,3,7,2,4,12
"Sierra County, CA",4,1,1,1,7,4,12
"Boulder County, CO",4,1,3,1,5,4,12
"Delta County, CO",4,1,3,1,5,4,12
"Kit Carson County, CO",7,2,4,1,1,4,12
"La Plata County, CO",3,1,3,1,6,4,12
"Moffat County, CO",6,1,1,1,6,4,12
"Pueblo County, CO",7,1,3,1,3,4,12
"Sarasota County, FL",7,4,1,4,1,5,12
"Bartow County, GA",6,1,4,1,2,5,12
"Chattooga County, GA",4,1,5,1,2,5,12
"Cherokee County, GA",3,1,7,1,1,5,12
"Elbert County, GA",4,1,6,1,1,5,12
"Murray County, GA",4,1,5,1,2,5,12
"Blaine County, ID",4,1,1,1,7,4,12
"Boise County, ID",4,1,1,1,7,4,12
"Bonneville County, ID",3,1,3,1,6,4,12
"Butte County, ID",4,1,1,1,7,4,12
"Clearwater County, ID",6,1,1,1,6,4,12
"Jerome County, ID",6,1,5,1,1,5,12
"Lemhi County, ID",4,1,1,1,7,4,12
"Boone County, IL",4,5,4,1,1,4,12
"Bureau County, IL",4,5,4,1,1,4,12
"DeKalb County, IL",4,5,4,1,1,4,12
"Fulton County, IL",4,4,4,1,1,5,12
"Henry County, IL",4,5,4,1,1,4,12
"Knox County, IL",4,5,4,1,1,4,12
"McHenry County, IL",4,5,4,1,1,4,12
"Mercer County, IL",4,4,4,1,1,5,12
"Rock Island County, IL",4,5,4,1,1,4,12
"Adams County, IN",4,5,3,1,1,5,12
"Boone County, IN",4,5,3,1,1,5,12
"Carroll County, IN",4,5,3,1,1,5,12
"Cass County, IN",4,5,3,1,1,5,12
"Clinton County, IN",4,5,3,1,1,5,12
"Franklin County, IN",4,5,3,1,1,5,12
"Grant County, IN",4,5,3,1,1,5,12
"Hamilton County, IN",4,5,3,1,1,5,12
"Hancock County, IN",4,5,3,1,1,5,12
"Howard County, IN",4,5,3,1,1,5,12
"Huntington County, IN",4,5,3,1,1,5,12
"Jennings County, IN",4,5,3,1,1,5,12
"Johnson County, IN",4,5,3,1,1,5,12
"LaPorte County, IN",3,6,3,1,1,5,12
"Madison County, IN",4,5,3,1,1,5,12
"Marion County, IN",4,5,3,1,1,5,12
"Miami County, IN",4,5,3,1,1,5,12
"Putnam County, IN",4,4,4,1,1,5,12
"Rush County, IN",4,5,3,1,1,5,12
"Scott County, IN",4,5,3,1,1,5,12
"Shelby County, IN",4,5,3,1,1,5,12
"Starke County, IN",3,6,3,1,1,5,12
"Tipton County, IN",4,5,3,1,1,5,12
"Union County, IN",4,5,3,1,1,5,12
"Wabash County, IN",4,5,3,1,1,5,12
"Wells County, IN",4,5,3,1,1,5,12
"White County, IN",4,5,3,1,1,5,12
"Audubon County, IA",4,4,4,1,1,5,12
"Black Hawk County, IA",4,6,3,1,1,4,12
"Boone County, IA",4,4,4,1,1,5,12
"Bremer County, IA",4,6,3,1,1,4,12
"Carroll County, IA",4,4,4,1,1,5,12
"Cedar County, IA",4,5,3,1,1,5,12
"Crawford County, IA",4,4,4,1,1,5,12
"Dallas County, IA",4,4,4,1,1,5,12
"Des Moines County, IA",4,5,4,1,1,4,12
"Fremont County, IA",4,2,5,1,1,5,12
"Greene County, IA",4,4,4,1,1,5,12
"Hamilton County, IA",4,5,3,1,1,5,12
"Harrison County, IA",4,2,5,1,1,5,12
"Humboldt County, IA",4,5,3,1,1,5,12
"Ida County, IA",4,4,4,1,1,5,12
"Johnson County, IA",4,4,4,1,1,5,12
"Keokuk County, IA",4,4,4,1,1,5,12
"Mahaska County, IA",4,4,4,1,1,5,12
"Marion County, IA",4,4,4,1,1,5,12
"Mills County, IA",4,2,5,1,1,5,12
"Page County, IA",4,2,5,1,1,5,12
